NAME	X	Y	Cluster	Individual library (may be several per mouse)	Mouse	Timepoint
TYPE	numeric	numeric	group	group	group	group
MOUSE_CELL_0	3491.2507796043865	4244.492717892061	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_1	1301.1195964700087	4172.720236658553	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_2	3240.547356221936	4080.4867828978668	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_3	3425.078971332168	4059.471756230997	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_4	3534.989918322646	4296.329571039071	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_5	1786.3282923717156	4031.6749105347676	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_6	1559.239380344818	3559.412616640326	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_7	2073.8933904262867	3602.924153398567	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_8	1081.6443157224192	3890.590732989109	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_9	3071.7231506377384	1042.19911087636	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_10	1129.1218755247205	4059.891631732202	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_11	2213.208588916071	3596.908209270511	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_12	1567.1089121478649	3915.3550887748	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_13	2440.3373359081097	3791.7095348790053	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_14	1266.2919017753266	3968.8594621523866	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_15	1696.0234314555094	4074.775004443072	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_16	2454.9348173093294	4537.693892501698	Brush	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_17	3511.5631435610367	4105.965633224503	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_18	3289.0521491902055	4082.0205865343423	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_19	1621.9109470299818	4050.646221790897	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_20	3309.6129729924505	4233.312838232383	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_21	3646.243503915465	1284.9908277236104	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_22	3244.4802992315354	3129.7792694594364	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_23	1430.4301176986064	4147.336515505255	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_24	3603.3062108021704	1376.911651045112	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_25	2657.3455313553495	3484.54095235512	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_26	3640.6472215894987	1443.7838112717764	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_27	3646.0416908481184	4184.430143677038	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_28	3225.983259574158	3967.557930526853	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_29	3538.074487565229	4155.106432720354	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_30	2983.9825899954194	3800.8779092902264	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_31	1200.212347719947	3758.3208596685613	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_32	3662.371033955894	4281.78870366366	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_33	1076.632709650643	4205.066804423139	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_34	3571.738498812034	4235.839353185149	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_35	2784.4623094326475	2034.1540745769016	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_36	1173.3336985861192	3853.6623486476024	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_37	1301.7247345620235	3553.531017592289	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_38	3691.304309284362	1366.6936882580271	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_39	1854.1512231602137	3969.224785160525	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_40	3644.5255388375795	4201.4523730281235	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_41	3449.841539986289	3982.2499986904572	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_42	1082.7048967801747	4225.707701774367	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_43	3548.0435738524384	4204.779899678058	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_44	3200.2288754039337	3478.275199836292	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_45	3532.0605831631965	4283.85233594777	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_46	2291.8183176305006	3485.1568675674075	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_47	3811.3120855040324	4346.019836214275	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_48	1474.2273925814566	4147.340098253937	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_49	3519.2519897704083	4223.525940594673	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_50	1309.396002369722	3967.228783781838	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_51	1267.4641823967686	3705.0127061402186	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_52	3566.125599020104	4224.550556086886	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_53	2233.8121221910715	3911.5715298571117	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_54	3666.9900967977765	4325.407451954536	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_55	3518.3243023667073	4256.718395838011	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_56	3162.3130741423056	4074.462777877539	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_57	2795.8911922364478	3962.1928103814653	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_58	1282.888341395424	4209.700212840339	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_59	2531.177693313265	3664.560306605674	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_60	3528.849948328232	1243.0463643632684	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_61	3244.3900544761473	3361.2424370604267	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_62	1821.9971437281881	3648.369315554848	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_63	3506.079007034582	4146.759715424734	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_64	3635.7902808428453	1678.4832126910883	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_65	3668.0152449392353	4294.784330750321	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_66	3676.122651713702	3961.5253738348406	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_67	1295.7039237543	4031.1547963525363	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_68	2569.706013050219	3917.16236910566	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_69	1210.517241539062	3917.062880455046	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_70	3387.4348180790657	1052.8075438622695	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_71	3673.563790703862	4335.4670465999025	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_72	2437.823480443496	5231.330133013009	Brush	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_73	1338.6297445185626	4199.552992636565	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_74	3530.773009617673	4106.3161615202325	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_75	1312.8389055551243	4158.568689231945	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_76	2686.914983875958	3317.479225805825	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_77	1543.6790477458271	4089.2192750067616	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_78	3044.7564498372867	3678.1382964510085	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_79	3721.063930120152	4319.260777583469	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_80	2592.110841209367	3929.801383116217	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_81	1368.4585451986222	3815.0764544057015	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_82	2917.376864694198	4031.1368145623096	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_83	1827.645927260574	4030.8898327099473	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_84	1838.7404960179956	3674.2704632919545	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_85	1403.4184061761907	4187.935121893033	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_86	3699.0510498246895	1451.0353867884744	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_87	3575.947073082236	1187.2738107198707	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_88	2973.304957551257	1184.6752171875314	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_89	1264.2522745741871	4145.096547979633	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_90	1307.6938394246408	3836.7140197077747	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_91	3679.3029975061622	4237.878306517399	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_92	1241.223606908172	4244.151208473364	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_93	3058.6756274040736	4058.029292258838	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_94	3516.525937638672	3807.7765889406073	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_95	3337.1326060752617	3683.529702900834	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_96	3362.616943154272	4116.762363488241	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_97	3272.6946595001787	3004.207433546158	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_98	1986.698095526574	3937.2203378149497	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_99	3652.2108621595735	1354.649818784251	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_100	2941.7324315921887	3471.1035726372634	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_101	3305.8299085223207	3556.462264011443	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_102	3613.1985426791016	4215.954648088496	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_103	3590.741170852401	1479.3214560984402	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_104	3689.0419405535376	4392.857718988636	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_105	3422.3527254691435	4124.0784260549735	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_106	3681.960355577973	4175.467025914545	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_107	3699.5866159771467	1375.0216829654375	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_108	3645.5322813314842	1442.6103159299746	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_109	1061.9359671184945	4151.469007276765	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_110	3614.0832714399935	1368.9046188852749	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_111	3712.303106803087	4109.864850271577	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_112	1501.5935883509903	3353.3132576155963	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_113	1359.9002623070055	3716.204972703711	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_114	1249.6026906208313	3734.058876482247	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_115	2990.3257075923952	3620.020956537088	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_116	3463.162690191186	4255.236693372119	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_117	1638.6739453079852	4034.97572758262	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_118	1894.7455365091937	3925.37565148921	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_119	1864.4975926058278	3964.8184897443207	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_120	3671.25700471105	4030.879738364015	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_121	1108.8784315781772	4188.111371153178	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_122	2247.9559801156165	3473.694479346343	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_123	1247.5167274827918	4247.212635172356	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_124	2895.550453853781	3478.0740985979937	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_125	2580.598933578787	3882.5144834218518	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_126	1932.2627177379663	3671.353059555643	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_127	1168.661460535975	3634.8343287516054	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_128	3648.4613248480264	4270.571991064395	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_129	3412.092988042141	4025.4977788660913	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_130	1167.523402048298	4158.638978332801	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_131	1279.7538107897321	4095.681209521235	Basal	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_132	3617.4368858634066	1410.4724931429162	Ciliated	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
MOUSE_CELL_133	3443.1097239737464	4064.359124457166	Secretory	nov2016_6_uninjured_mouse_id_54	uninjured_mouse_id_54	uninjured
